state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
WA,20200316,769,9451,127,2329,0.081279404454074,0.246428949317533,0.165149544863459
WI,20200316,47,504,14,191,0.081095913542722,0.378968253968254,0.297872340425532
TX,20200323,352,9703,18,1281,0.080884660789072,0.132021024425435,0.051136363636364
IN,20200322,201,1293,75,586,0.080075261742333,0.453209590100541,0.373134328358209
WA,20200314,568,6001,111,1651,0.079698277986533,0.2751208131978,0.195422535211268
AK,20200327,69,2319,10,518,0.078444606933273,0.223372143165157,0.144927536231884
WA,20200312,337,3037,70,862,0.076117596136278,0.283832729667435,0.207715133531157
MN,20200313,14,541,5,234,0.075389490361764,0.432532347504621,0.357142857142857
OR,20200324,209,4350,18,701,0.075025023373481,0.161149425287356,0.086124401913876
NV,20200323,245,3490,55,1042,0.074077539325186,0.298567335243553,0.224489795918367
TX,20200326,1396,20028,422,7508,0.072582911145027,0.374875174755343,0.302292263610315
IA,20200327,235,3740,56,1162,0.07239731482535,0.310695187165775,0.238297872340426
WV,20200324,20,610,4,166,0.072131147540984,0.272131147540984,0.2
ID,20200321,31,880,8,290,0.071480938416422,0.329545454545454,0.258064516129032
WY,20200321,23,438,4,107,0.070379193964662,0.244292237442922,0.173913043478261
VA,20200318,77,1201,10,240,0.069963342236448,0.199833472106578,0.12987012987013
WA,20200327,3207,43173,627,11461,0.069957020438817,0.265466842702615,0.195509822263798
IL,20200327,3060,18516,522,4423,0.068286251636105,0.238874486930222,0.170588235294118
IA,20200313,16,83,2,16,0.06777108433735,0.192771084337349,0.125
FL,20200326,2355,23741,673,8367,0.066653341693189,0.352428288614633,0.285774946921444
RI,20200318,33,540,12,232,0.065993265993266,0.42962962962963,0.363636363636364
PA,20200320,268,2574,83,966,0.065589882754062,0.375291375291375,0.309701492537313
IN,20200315,19,102,4,28,0.063983488132095,0.274509803921569,0.210526315789474
WY,20200324,29,710,3,118,0.062748907236523,0.166197183098592,0.103448275862069
MO,20200315,5,122,1,32,0.062295081967213,0.262295081967213,0.2
MA,20200319,328,2804,72,789,0.061871542395881,0.281383737517832,0.219512195121951
KS,20200315,8,135,2,42,0.061111111111111,0.311111111111111,0.25
MN,20200310,3,132,1,52,0.060606060606061,0.393939393939394,0.333333333333333
KY,20200322,99,1472,45,758,0.060400197628459,0.514945652173913,0.454545454545455
UT,20200322,181,3508,45,1084,0.0603891972256,0.309007981755986,0.248618784530387
GA,20200321,507,2557,87,591,0.059532597603053,0.231130230739147,0.171597633136095
KY,20200310,6,28,2,11,0.05952380952381,0.392857142857143,0.333333333333333
WV,20200322,12,385,1,55,0.05952380952381,0.142857142857143,0.083333333333333
LA,20200315,91,156,22,47,0.05952380952381,0.301282051282051,0.241758241758242
RI,20200321,66,862,12,208,0.059481122126134,0.241299303944316,0.181818181818182
OR,20200323,191,3649,30,785,0.058059369345973,0.215127432173198,0.157068062827225
ME,20200316,17,764,14,673,0.057360640591315,0.880890052356021,0.823529411764706
CO,20200313,72,524,27,226,0.056297709923664,0.431297709923664,0.375
TN,20200320,228,563,74,214,0.055545168427285,0.380106571936057,0.324561403508772
NV,20200320,109,1992,14,366,0.055294572786559,0.183734939759036,0.128440366972477
GU,20200320,14,86,2,17,0.054817275747508,0.197674418604651,0.142857142857143
WI,20200324,457,8237,41,1187,0.054390327680326,0.144105863785359,0.089715536105033
VA,20200316,51,438,6,75,0.053585817888799,0.171232876712329,0.117647058823529
NH,20200320,44,745,5,124,0.052806589383771,0.166442953020134,0.113636363636364
MS,20200322,207,1114,67,419,0.052450585000737,0.376122082585278,0.323671497584541
VA,20200324,290,4180,36,737,0.052177858439202,0.176315789473684,0.124137931034483
IA,20200321,68,1049,23,407,0.049753266416195,0.387988560533842,0.338235294117647
IL,20200305,5,165,1,41,0.048484848484849,0.248484848484848,0.2
CA,20200325,2355,15921,253,2469,0.047647200728758,0.155078198605615,0.107430997876858
IN,20200324,365,2566,106,865,0.046689586692149,0.337100545596259,0.29041095890411
OR,20200311,19,286,4,73,0.044718439455282,0.255244755244755,0.210526315789474
ME,20200320,57,2264,4,260,0.044665550802802,0.114840989399293,0.070175438596491
NV,20200321,124,2384,15,392,0.043461788265859,0.164429530201342,0.120967741935484
WA,20200315,642,7122,74,1121,0.04213480934422,0.157399606852008,0.115264797507788
WI,20200323,416,7050,31,820,0.041792825968358,0.116312056737589,0.074519230769231
MS,20200324,320,1552,71,409,0.041655927835052,0.263530927835052,0.221875
MT,20200324,46,1643,12,497,0.041625869962158,0.30249543517955,0.260869565217391
KY,20200321,54,714,7,122,0.041238717709306,0.170868347338936,0.12962962962963
SC,20200320,81,833,21,250,0.040860788759949,0.300120048019208,0.259259259259259
SD,20200321,14,691,0,28,0.040520984081042,0.040520984081042,0
WA,20200320,1376,19336,189,3418,0.039414070392857,0.176768721555647,0.137354651162791
WA,20200313,457,4350,120,1313,0.039257023566991,0.30183908045977,0.262582056892779
GU,20200317,5,41,2,18,0.039024390243903,0.439024390243902,0.4
PA,20200321,371,3766,103,1192,0.038888165212076,0.31651619755709,0.277628032345013
NM,20200312,5,155,2,68,0.038709677419355,0.438709677419355,0.4
NJ,20200325,4402,10452,727,2127,0.038349518614595,0.203501722158439,0.165152203543844
NJ,20200320,890,264,148,54,0.038253319713994,0.204545454545455,0.166292134831461
